,Property_Name,Price_in_INR,No_of_Bedroom,Property_type
1972,"Market Square, South Petherton, TA13",38163600,4,4 bedroom detached house for sale
1973,"The Huxford - Plot 70 at Wool Gardens, Wool Gardens, Land off Blacknell Lane TA18",48764600,2,4 bedroom detached house for sale
1974,"5 Redgate Park, Crewkerne",22792150,5,3 bedroom semi-detached house for sale
1975,"Severalls Park Avenue, Crewkerne, TA18",42404000,3,Land for sale
1976,"Claycastle, Haselbury Plucknett",25707425,2,3 bedroom cottage for sale
1977,"48 West Street, Crewkerne",46644400,6,4 bedroom semi-detached house for sale
1978,"Over Stratton, South Petherton, Somerset, TA13",24912350,,2 bedroom detached bungalow for sale
1979,"Shute Lake Lane, TA18",36573450,3,4 bedroom semi-detached house for sale
1980,"The Huxford - Plot 68 at Wool Gardens, Wool Gardens, Land off Blacknell Lane TA18",29682800,3,2 bedroom cottage for sale
1981,"38 Lower Street, Merriott",63600699,4,5 bedroom end of terrace house for sale
1982,"Waterwheel Court, Merriott, Somerset, TA16",19611850,3,3 bedroom terraced house for sale
1983,"Bridge Road, South Petherton, Somerset, TA13 5JD",40283800,4,2 bedroom bungalow for sale
1984,"Barn Close, Crewkerne, Somerset, TA18",78447400,4,6 bedroom detached house for sale
1985,"Merriott Road, Merriott, Somerset, TA16",34453250,4,Land for sale
1986,"Oakland Lane, Over Stratton TA13",19611850,,3 bedroom terraced house for sale
1987,"Bridge Road, South Petherton, TA13",31272950,7,3 bedroom end of terrace house for sale
1988,"Lampreys Lane, South Petherton, TA13",48764600,2,4 bedroom detached house for sale
1989,"26 Lightgate Lane, South Petherton",42404000,2,3 bedroom apartment for sale
1990,"Crewkerne, Somerset TA18",116080950,3,4 bedroom detached house for sale
1991,"Oakland Lane, Over Stratton TA13",72616850,3,4 bedroom detached house for sale
1992,"The Old Forge, Wigborough",31803000,5,4 bedroom terraced house for sale
1993,Crewkerne TA18,29152750,5,Land for sale
1994,"Lower Easthams, Crewkerne",143113500,3,7 bedroom detached house for sale
1995,Crewkerne,22262100,,2 bedroom terraced house for sale
1996,"Holloway Road, Lopen, South Petherton, TA13",16956299,,2 bedroom flat for sale
1997,"Crewkerne, TA18",29046740,4,3 bedroom semi-detached house for sale
1998,"The Gosford - Plot 77 at Wool Gardens, Wool Gardens, Land off Blacknell Lane TA18",30742900,4,3 bedroom detached house for sale
1999,"The Easedale - Plot 79 at Wool Gardens, Wool Gardens, Land off Blacknell Lane TA18",71556750,4,5 bedroom detached house for sale
2000,"Upton Lane, Seavington, Ilminster, TA19",121911500,3,5 bedroom detached house for sale
2001,"Lower Street, Merriott",63606000,2,3 bedroom detached house for sale
2002,"Merriott Road, Lopen, South Petherton, TA13",10070950,4,Land for sale
2003,"Land At Seavington St. Michael, Somerset, TA13",7950750,3,Detached house for sale
2004,"Hinton St. George, Hinton St. George TA17",90108500,3,4 bedroom equestrian property for sale
2005,"Northfield Lane, Over Stratton, South Petherton, Somerset, TA13",37103500,,4 bedroom semi-detached house for sale
2006,"The Huxford - Plot 62 at Wool Gardens, Wool Gardens, Land off Blacknell Lane TA18",53005000,,4 bedroom semi-detached house for sale
2007,"Green Knapp, Merriott",55655250,,3 bedroom detached house for sale
2008,"Watergore, South Petherton, Somerset, TA13",23852250,4,2 bedroom bungalow for sale
2009,"St. Marys Close, Seavington, Ilminster, Somerset, TA19",58305500,3,4 bedroom detached house for sale
2010,"Netherland, Over Stratton, South Petherton",46644400,2,3 bedroom detached house for sale
2011,"Waterwheel Court, Merriott, Somerset, TA16",39753750,3,3 bedroom bungalow for sale
2015,"Tuncombe, Crewkerne, TA18",63606000,5,4 bedroom detached house for sale
2016,"Seavington, Ilminster, TA19",33393150,3,3 bedroom semi-detached house for sale
2017,"Globe Orchard, Haselbury Plucknett, Crewkerne, Somerset, TA18",22792150,4,2 bedroom house for sale
2018,"North Street, Crewkerne, Somerset, TA18",34453250,3,3 bedroom semi-detached house for sale
2019,"Water Street, Seavington St Michael, Ilminster TA19",84808000,3,4 bedroom character property for sale
2020,"The Mill House, Moorlands Road, Merriott",20035890,2,1 bedroom bungalow for sale
2021,"Summer Shard, South Petherton, TA13",38163600,3,3 bedroom apartment for sale
2022,"Market Square, Crewkerne, TA18",132512500,3,5 bedroom village house for sale
2023,"Hopes, Little Street, Norton-Sub-Hamdon",42404000,4,3 bedroom townhouse for sale
2024,"Kings Living, Prigg Lane",73676950,2,4 bedroom detached house for sale
2025,"Swan Hill, Haselbury Plucknett",34453250,3,3 bedroom detached house for sale
2026,"Beechwood Drive, TA18",50354750,4,3 bedroom end of terrace house for sale
2027,"Tail Mill Lane, Merriott, Somerset, TA16",34453250,3,2 bedroom cottage for sale
2028,"1 Fair Place, Chiselborough",27562600,1,3 bedroom semi-detached house for sale
2029,"Swedish Houses, Over Stratton, South Petherton",49294650,1,3 bedroom end of terrace house for sale
2030,"Merriott Road, Hinton St. George, TA17",63606000,4,4 bedroom detached house for sale
2031,"Over Stratton, South Petherton",26502500,3,2 bedroom terraced house for sale
2032,"Townsend, Seavington, Ilminster, TA19",45054250,5,3 bedroom end of terrace house for sale
2033,"Higher Street, Merriott, TA16",60955750,8,4 bedroom detached house for sale
2034,"Merriottsford, Merriott, TA16",45054250,2,3 bedroom retirement property for sale
2035,"Hayes End Manor, South Petherton",20671950,3,1 bedroom bungalow for sale
2036,"Summer Shard, South Petherton, TA13",13251250,3,1 bedroom apartment for sale
2037,"East Street, Crewkerne",51414850,2,4 bedroom cottage for sale
2038,"Bridge Road, South Petherton",31797699,1,3 bedroom house for sale
2039,"Lopen Road, Hinton St. George",50354750,2,5 bedroom semi-detached house for sale
2040,"Station Road, Crewkerne",153714500,3,8 bedroom equestrian property for sale
2041,"Northfield Lane, Over Stratton, South Petherton, Somerset, TA13",12721200,4,2 bedroom park home for sale
2042,"Yeabridge , South Petherton, Somerset TA13",26502500,3,3 bedroom terraced house for sale
2043,"Middle Street, Misterton, Somerset, TA18",28617399,5,3 bedroom end of terrace house for sale
2044,"Station Road, TA18",26502500,,2 bedroom house for sale
2045,"West End Close, South Petherton",16431550,4,1 bedroom bungalow for sale
2046,"St James Mews, South Petherton, TA13",23110180,2,2 bedroom terraced house for sale
2047,"Jubilee Close, TA18",37103500,3,3 bedroom semi-detached house for sale
2048,"12 Barn Orchard, Norton-Sub-Hamdon",38693650,8,4 bedroom detached house for sale
2049,"The Huxford - Plot 58 at Wool Gardens, Wool Gardens, Land off Blacknell Lane TA18",77917350,4,3 bedroom terraced house for sale
2050,"Yeabridge Court, Yeabridge, South Petherton, TA13",77387300,1,5 bedroom terraced house for sale
2052,"Land Forming Part Of Goldwell Farm, Yeovil Road, Crewkerne, TA18",42404000,5,4 bedroom detached house for sale
2053,"Bincombe Drive, Crewkerne, TA18",32863100,3,2 bedroom bungalow for sale
2054,"Summer Shard, South Petherton, TA13",77387300,4,3 bedroom detached house for sale
2055,"Over Stratton, South Petherton, TA13",212020000,3,8 bedroom detached house for sale
2056,"Chiselborough , Stoke Sub Hamdon, Somerset, TA14",66256250,3,4 bedroom detached house for sale
2057,"Orchard Close, South Petherton",34453250,2,1 bedroom terraced house for sale
2058,"Norton Sub Hamdon, Stoke-Sub-Hamdon",28092650,3,2 bedroom apartment for sale
2059,"Crown Court, Market Square, South Petherton, TA13",53005000,4,5 bedroom bungalow for sale
2060,Crewkerne,34453250,3,3 bedroom end of terrace house for sale
2061,"St James Street, South Petherton, TA13",38481630,,4 bedroom detached house for sale
2062,"Silver Street, South Petherton, TA13",26502500,5,3 bedroom bungalow for sale
2063,"Ashlands Meadow, Crewkerne, Somerset, TA18",46114350,5,3 bedroom detached house for sale
2064,"Lampreys Lane, South Petherton, TA13",28357675,4,2 bedroom bungalow for sale
2065,"Crewkerne, Somerset TA18",26502500,3,3 bedroom end of terrace house for sale
2066,"West End Way, South Petherton",60425700,7,4 bedroom detached house for sale
2067,"Water Street, South Petherton TA13",28622700,4,3 bedroom terraced house for sale
2068,Crewkerne TA18,12721200,2,Land for sale
2144,"Wilmslow, Cheshire, SK9 6BS",31802469,1,3 bedroom semi-detached house for sale
2145,"Plot 30, The Grasmere at Coseley New Village, DY4, Sedgley Road West DY4",14311350,3,1 bedroom terraced house for sale
2146,"Clipper View, Birmingham B16",13251250,3,2 bedroom apartment for sale
2147,"Aintree Close, Catshill, Bromsgrove, Worcestershire, B61",36043400,3,2 bedroom flat for sale
2148,"Bond Street, Birmingham B19",11661100,4,1 bedroom apartment for sale
2149,"Prospect Hill, Stourbridge",11661100,2,1 bedroom apartment for sale
2150,"Prospect Hill, Stourbridge",73676950,3,3 bedroom detached bungalow for sale
2151,"Streetly Crescent, Four Oaks, Sutton Coldfield",42404000,2,2 bedroom detached bungalow for sale
2152,"Kensington Drive, Four Oaks, Sutton Coldfield",137813000,1,5 bedroom detached house for sale
2153,"Parkfields, Four Oaks",30212850,2,2 bedroom terraced house for sale
2154,"Weaver Court, Four Oaks, Sutton Coldfield",50354750,3,2 bedroom detached bungalow for sale
2155,"Bickley Avenue, Four Oaks, Sutton Coldfield",40283800,1,4 bedroom detached house for sale
2156,"Bunbury Road, Birmingham B31",42404000,2,3 bedroom detached bungalow for sale
2157,"Harewell Drive, Four Oaks, Sutton Coldfield",20141900,1,1 bedroom flat for sale
2158,"548 Streetsbrook Road, Solihull B91",38958675,2,3 bedroom semi-detached house for sale
2159,"Griffin Lane, Dickens Heath, Solihull",25442400,1,3 bedroom terraced house for sale
2160,"Westacre Gardens, Stetchford, Birmingham",26502500,2,3 bedroom house for sale
2161,"Nursery Gardens, Stourbridge, DY8 4AS",39753750,2,4 bedroom semi-detached house for sale
2162,"Tower Drive, Bromsgrove, Worcestershire, B61",20671950,1,2 bedroom semi-detached house for sale
2163,"Reedmace Close, Birmingham, West Midlands, B38",23852250,4,3 bedroom terraced house for sale
2164,"Westminster Road, Selly Oak, Birmingham, B29 7RS",13251250,4,2 bedroom apartment for sale
2165,"Bredon Court, Hill Village Road, Four Oaks, Sutton Coldfield, B75 5JD",8475499,4,1 bedroom apartment for sale
2166,"Gozzard Street, Bilston, WV14 7EW",13251250,3,2 bedroom apartment for sale
2167,"Peel Drive, Tamworth B77",25707425,2,3 bedroom semi-detached house for sale
2168,"Springslade Drive, Erdington, B24",20141900,4,1 bedroom apartment for sale
2169,"Broadoaks, Streetsbrook Road, Solihull",23852250,3,2 bedroom semi-detached house for sale
2170,"The Larches, Kingsbury, B78",13781300,3,1 bedroom apartment for sale
2171,"at B5 Fully Managed Apartments, Pershore Street B5",21202000,2,2 bedroom end of terrace house for sale
2172,"Richardson Drive, Stourbridge, West Midlands, DY8",18021169,4,1 bedroom apartment for sale
2173,"at B3 Investment Flat, Ludgate Hill B3",31802469,3,2 bedroom apartment for sale
2174,"at B15 Birmingham Apartments, Rickman Drive B15",14735390,2,2 bedroom apartment for sale
2175,"Woodvale Mews, 375 Haunch Lane, Birmingham, B13",25441869,3,1 bedroom apartment for sale
2176,"at B1 City Centre, Newhall Hill B1",132512500,2,4 bedroom detached house for sale
2177,"Meeting House Lane, Balsall Common, CV7",40813850,3,4 bedroom detached house for sale
2178,"Westfields, Catshill, Bromsgrove, Worcestershire, B61",57775450,3,4 bedroom detached house for sale
2179,"Chesterwood Road, Kings Heath, Birmingham, West Midlands, B13",29682800,4,3 bedroom semi-detached house for sale
2180,"Green Slade Crescent, Marlbrook, Bromsgrove, Worcestershire, B60",12191150,3,2 bedroom apartment for sale
2181,"Bedford Street, Tipton, West Midlands, DY4",47704500,3,4 bedroom detached house for sale
2182,"Groveley Lane, Birmingham, West Midlands, B31",47704500,2,3 bedroom semi-detached house for sale
2183,"Malcolm Road, Shirley, Solihull, B90 2AH",23322200,3,3 bedroom semi-detached house for sale
2184,"Shelduck Way, Walsall, WS3",14841400,4,2 bedroom apartment for sale
2185,"Bowen Court, Wake Green Park, Moseley, Birmingham, B13",42404000,2,4 bedroom detached house for sale
2186,"Winchester Drive, Oldswinford , Stourbridge, DY8",78447400,3,3 bedroom detached house for sale
2187,"Tamworth Road, Over Whitacre , B46 2LH",8480800,2,2 bedroom apartment for sale
2188,"Pershore Road, Kings Norton, Birmingham, West Midlands, B30",39753750,4,3 bedroom semi-detached house for sale
2189,"Farnworth Grove, Castle Bromwich, B36",28092650,4,2 bedroom flat for sale
2190,"Lexington Gardens, Birmingham B15",35513350,5,3 bedroom end of terrace house for sale
2191,"ARCHFORD at Tenchlee Place Shaftmoor Lane, Hall Green, Birmingham B28",31803000,2,3 bedroom semi-detached house for sale
2192,"Springfield Crescent, Sutton Coldfield",60955750,2,4 bedroom detached house for sale
2193,"Stafford Road, Walsall WS3",22262100,4,3 bedroom semi-detached house for sale
2194,"Wilkes Close, Walsall WS3",27562600,3,3 bedroom detached house for sale
2195,"Wetherby Road, Walsall WS3",17491650,4,2 bedroom semi-detached house for sale
2196,"Ryle Street, Bloxwich, Walsall WS3",20141900,3,3 bedroom semi-detached house for sale
2197,"Edenhurst Road, Birmingham",73676950,2,4 bedroom house for sale
2198,"The Gutter, Rose Cottage, Belbroughton",13251250,3,2 bedroom maisonette for sale
2199,"Grayshott Close, Birmingham",20141900,3,3 bedroom terraced house for sale
2200,"Cyril Road, Birmingham B10",23852250,2,2 bedroom semi-detached house for sale
2201,"Compton Way, Birmingham B33",74207000,5,4 bedroom detached house for sale
2202,"Sundbury Rise, Birmingham B31",38688349,2,4 bedroom house for sale
2203,"Ivor Road, Birmingham B11",54065100,3,5 bedroom semi-detached house for sale
2204,"Haunch Lane, Birmingham B13",14841400,4,2 bedroom flat for sale
2205,"Wake Green Park, Birmingham B13",29152750,2,2 bedroom semi-detached house for sale
2206,"Blythsford Road, Hall Green, Birmingham",38958675,3,4 bedroom semi-detached house for sale
2207,"Barn Lane, Solihull",32863100,4,3 bedroom semi-detached house for sale
2208,"Hobs Moat Road, Solihull",36043400,3,4 bedroom detached house for sale
2209,"Fairlawns, Yardley, Birmingham",40283800,1,3 bedroom semi-detached house for sale
2210,"Beverley Court Road, Quinton, Birmingham",19611850,3,2 bedroom house for sale
2211,"Selsey Road, Birmingham",27562600,3,3 bedroom semi-detached house for sale
2212,"George Road, Oldbury",30742900,3,3 bedroom house for sale
2213,"Bishopton Road, Smethwick",30212850,3,2 bedroom flat for sale
2214,"Main Street, Dickens Heath, Shirley, Solihull, B90",51891895,3,5 bedroom detached house for sale
2215,"Dorchester Road, Stourbridge, DY9 0XB",18551750,3,2 bedroom terraced house for sale
2216,"Bagley Street, Stourbridge, DY9 7AY",32857799,3,3 bedroom semi-detached house for sale
2217,"Sandringham Drive, Aldridge",30737599,3,4 bedroom semi-detached house for sale
2218,"Whetstone Lane, Aldridge",37103500,4,2 bedroom semi-detached bungalow for sale
2219,"Langley Rise, Solihull",50354750,3,3 bedroom semi-detached house for sale
2220,"Widney Road, Bentley Heath, Solihull",79507500,3,4 bedroom semi-detached house for sale
2221,"Addison Place, Water Orton, Birmingham",26502500,2,3 bedroom semi-detached house for sale
2222,"Plants Brook Road, Walmley, Sutton Coldfield",5295199,2,1 bedroom apartment for sale
2223,"Honnington Court, Manor House Close, B29",37633550,1,3 bedroom semi-detached house for sale
2224,"Brandwood Road, Birmingham",22792150,4,3 bedroom semi-detached house for sale
2225,"Gregory Avenue, Birmingham, B29",30742900,5,3 bedroom house for sale
2226,"Corisande Road, Birmingham",30742900,5,3 bedroom detached house for sale
2227,"Kinloch Drive, Earls Keep, Dudley",30212850,1,3 bedroom semi-detached house for sale
2228,"Portsdown Road, Halesowen",25972450,5,3 bedroom semi-detached house for sale
2229,"Chadbury Road, Halesowen",23322200,3,3 bedroom semi-detached house for sale
2230,"Hanover Road, Rowley Regis",33393150,3,3 bedroom detached house for sale
2231,"Naseby Drive, Halesowen",28622700,2,4 bedroom detached house for sale
2232,"Morvale Street, Stourbridge",45054250,1,3 bedroom detached bungalow for sale
2233,"Tall Trees Drive, Stourbridge",50354750,1,3 bedroom semi-detached house for sale
2234,"Gower Road, Halesowen",15901500,3,2 bedroom park home for sale
2235,"The Oaks, Wythall, Birmingham",7950750,3,2 bedroom park home for sale
2236,"Juggins Lane, Earlswood",27297575,2,1 bedroom apartment for sale
2237,"Imperial House, Princes Gate, Homer Road, Solihull, West Midlands, B91",50354750,3,4 bedroom semi-detached house for sale
2238,"Rectory Road, Sutton Coldfield",87458250,3,5 bedroom detached house for sale
2239,"Monmouth Drive, Sutton Coldfield, B73 6JQ",74207000,3,5 bedroom detached house for sale
2240,"Coppice Road, Moseley",14841400,1,1 bedroom apartment for sale
2241,"Apartment , Victoria House, Manor Road, Edgbaston, Birmingham",92758750,5,5 bedroom detached house for sale
2242,"Britannic Gardens, Birmingham, B13",26497199,3,3 bedroom semi-detached house for sale
2243,"Tyzack Close, Brierley Hill",23852250,3,3 bedroom semi-detached house for sale
2244,"Greenwood Avenue, Rowley Regis",13251250,4,2 bedroom semi-detached bungalow for sale
2245,"Schofield Avenue, West Bromwich, B71 2AW",9540900,5,1 bedroom apartment for sale
2246,"Flat 9, Kingston House, Moor Street, Brierley Hill, West Midlands",9540900,2,1 bedroom maisonette for sale
2247,"Allen Close, Great Barr, Birmingham, B43 5PT",23322200,4,3 bedroom end of terrace house for sale
2248,"Blakemore Road, Walsall Wood",13781300,3,3 bedroom terraced house for sale
2249,"Bloxwich Road, Walsall",13251250,3,2 bedroom ground floor maisonette for sale
2250,"Hilary Crest, UPPER GORNAL, DY3 2DH",27562600,2,3 bedroom detached house for sale
2251,"Catherton Close, Tipton",29682800,2,3 bedroom townhouse for sale
2252,"Mullion Drive, Bilston, WV14 8GW",22262100,4,3 bedroom semi-detached house for sale
2253,"Whitehouse Avenue, Wednesbury",13781300,3,1 bedroom apartment for sale
2254,"The Greaves, Sutton Coldfield B76",63606000,2,5 bedroom semi-detached house for sale
2255,"Willmott Road, Four Oaks, Sutton Coldfield, B75 5NS",38163600,3,3 bedroom semi-detached house for sale
2256,"Weeford Dell, Four Oaks, Sutton Coldfield, B75 5RU",39753750,3,3 bedroom semi-detached house for sale
2257,"Old Marl Close, Four Oaks, Sutton Coldfield, B75 5NF",62015850,3,4 bedroom semi-detached house for sale
2258,"Maney Hill Road, Sutton Coldfield, B72 1JL",63606000,4,5 bedroom detached house for sale
2259,"Elm Road, Sutton Coldfield B76",13781300,3,2 bedroom apartment for sale
2260,"Gallery Square, Walsall, WS2 8LN",51838890,3,4 bedroom detached house for sale
2261,"Bowood End, Sutton Coldfield B76",84808000,3,3 bedroom detached house for sale
2262,"Birmingham Road, Birmingham B43",41873950,3,3 bedroom detached house for sale
2263,"Little Croft, Great Barr B43",10601000,3,2 bedroom apartment for sale
2264,"Grafton Road, West Bromwich B71",13251250,3,2 bedroom apartment for sale
2265,"Northcroft Way, Birmingham B23",50354750,3,4 bedroom semi-detached house for sale
2266,"Brandwood Road, Kings Heath, Birmingham, B14",37103500,4,3 bedroom terraced house for sale
2267,"Grange Road, Kings Heath, Birmingham, B14",22792150,3,2 bedroom semi-detached bungalow for sale
2268,"Rischale Way, Rushall, WS4 1EZ",22262100,4,3 bedroom semi-detached house for sale
2269,"Wilkes Close, Pelsall, WS3 4QP",34983300,1,3 bedroom detached house for sale
2270,"Priam Grove, Pelsall, WS3 4PZ",38163600,2,3 bedroom detached house for sale
2271,"Bude Road, Park Hall, Walsall, WS5 3EX",43994150,2,4 bedroom semi-detached house for sale
2272,"Cherrywood Road, Streetly, Sutton Coldfield, B74 3RT",32333050,5,3 bedroom terraced house for sale
2273,"Maxholm Road, Streetly, Sutton Coldfield",45054250,2,3 bedroom semi-detached house for sale
2274,"Elmwood Road, Sutton Coldfield, B74 2DQ",27562600,4,3 bedroom semi-detached house for sale
2275,"Winterton Road, Kingstanding, Birmingham, B44 0UU",31803000,2,3 bedroom detached house for sale
2276,"Ivanhoe Road, Great Barr, Birmingham B43 5LN",29152750,2,3 bedroom semi-detached house for sale
2277,"Wolverhampton Road, Aldridge",34983300,2,3 bedroom semi-detached house for sale
2278,"Broomfield Avenue, Fazeley",24382300,2,3 bedroom end of terrace house for sale
2279,"Peartree Avenue, Kingsbury",40813850,3,4 bedroom detached house for sale
2280,"Peel Drive, Wilnecote",45054250,3,3 bedroom detached bungalow for sale
2281,"Wallheath Crescent, Stonnall",45584300,2,4 bedroom townhouse for sale
2282,"Stratford House Road, Birmingham B5",13781300,2,1 bedroom apartment for sale
2283,"at B5 Fully Managed Apartments, Pershore Street B5",27562600,3,2 bedroom apartment for sale
2284,"Timber Yard, Pershore Street, Birmingham, B5",18021700,4,2 bedroom maisonette for sale
2285,"Hartlebury Close, Dorridge",50354219,5,5 bedroom semi-detached house for sale
2286,"The Elms, The Oxford, Shaftmoor Lane, Hall Green",29894289,3,2 bedroom semi-detached house for sale
2287,"The Elms, The Roseberry, Shaftmoor Lane, Hall Green",53005000,3,4 bedroom detached house for sale
2288,"Gleneagles Drive, Blackwell, B60 1BD",20353920,3,2 bedroom semi-detached house for sale
2289,"Plot 86, The Alnwick Special at Holly Fields, Holly Lane, Erdington B24",20353920,2,2 bedroom semi-detached house for sale
2290,"Plot 87, The Alnwick Special at Holly Fields, Holly Lane, Erdington B24",20353920,4,2 bedroom semi-detached house for sale
2291,"Plot 85, The Alnwick Special at Holly Fields, Holly Lane, Erdington B24",20353920,2,2 bedroom semi-detached house for sale
2292,"Plot 84, The Alnwick Special at Holly Fields, Holly Lane, Erdington B24",34453250,1,3 bedroom detached house for sale
2293,"Slater Street, Wednesbury WS10",27562600,3,3 bedroom semi-detached house for sale
2294,"Myvod Road, Wednesbury WS10",10601000,3,2 bedroom terraced house for sale
2295,"Plot 284 - Semi detached house, Two Bed Home at Lucas Place, Lucas Place, Shaftmoor Lane B28",17067610,2,2 bedroom flat for sale
2296,"Moorfield Drive, Sutton Coldfield B73",47704500,4,3 bedroom detached bungalow for sale
2297,"Truemans Heath Lane, Hollywood B47 5QB",55655250,6,4 bedroom detached house for sale
2298,"James Dawson Drive, Millisons Wood, Coventry, CV5",36043400,3,5 bedroom semi-detached house for sale
2299,"Hall Road, Handsworth B20",98059250,3,3 bedroom cottage for sale
2300,"Barston Lane, Barston, B92",20353920,1,3 bedroom terraced house for sale
2301,"Thompson Road, Oldbury B68",29682800,3,3 bedroom terraced house for sale
2302,"Upland Grove, Bromsgrove, B61 0EL",33658175,1,2 bedroom apartment for sale
2303,"Apartment 28, Photographic Works, 45 Camden Street, Birmingham, West Midlands, B1",84808000,3,4 bedroom detached house for sale
2304,"Boningale Way, Dorridge, B93",3604340,3,2 bedroom terraced house for sale
2305,"32 Causeway Green Road, Oldbury, B68 8LF",12503879,2,1 bedroom apartment for sale
2306,"at B15 Birmingham Apartments, Rickman Drive B15",50354750,5,3 bedroom semi-detached house for sale
2307,"Poplar Road, Dorridge, B93",20459930,3,3 bedroom semi-detached house for sale
2308,"Bassett Street, Walsall WS2",9010850,2,2 bedroom terraced house for sale
2309,"34 Little London, Walsall, WS1 3EW",52474950,2,4 bedroom detached house for sale
2310,"Ashgrove Close, Marlbrook, Bromsgrove, B60 1HW",68906500,1,6 bedroom detached house for sale
2311,"29 Clarendon Road, Edgbaston, Birmingham, B16 9SD",23322200,3,3 bedroom terraced house for sale
2312,"Hugh Road, Birmingham B10",29152750,4,3 bedroom detached house for sale
2313,"Hawksworth Crescent, Chelmsley Wood, Birmingham, West Midlands, B37",6042570,1,1 bedroom flat for sale
2314,"Phoenix Rise, Wednesbury WS10",31803000,2,3 bedroom terraced house for sale
2315,"Park Road, Bearwood",24912350,5,1 bedroom flat for sale
2316,"Apartment 9, 6 Camden Drive, B1 3LS",50354750,6,3 bedroom flat for sale
2317,"Hampton Lane, Solihull, West Midlands, B91",71556750,5,3 bedroom detached house for sale
2318,"Wroxall Road, Solihull, West Midlands, B91",5830550,5,2 bedroom apartment for sale
2319,"Flat 22 High View, 77 Highgate Road, Walsall, WS1 3JA",159015000,4,5 bedroom detached house for sale
2320,"Heaton Courtyard, Camden Street, Birmingham, West Midlands, B1",15901500,5,3 bedroom semi-detached house for sale
2321,"Cedar Road, Willenhall",30737599,5,2 bedroom flat for sale
2322,"Tamworth Road, Sutton Coldfield, B75",6360600,5,2 bedroom flat for sale
2323,"Gomer Street, Willenhall WV13",10601000,7,1 bedroom flat for sale
2324,"Springfield Road, Moseley B13",31272950,7,3 bedroom semi-detached house for sale
2325,"Vimy Road, Billesley, Birmingham, West Midlands, B13",51414850,5,4 bedroom semi-detached house for sale
2326,"May Lane, Kings Heath, B14 4AW",13781300,4,1 bedroom apartment for sale
2327,"at B3 Investment Flat, Ludgate Hill B3",31802469,5,2 bedroom apartment for sale
2328,"at B1 Investment Apartments, Bradford Street B1",583055000,3,Land for sale
2329,"Netherplace Road, Newton Mearns, Glasgow G77",185517500,3,Terraced house for sale
2330,"Woodside Crescent, Glasgow G3",179686950,4,Detached house for sale
2331,"Blantyre Road, Bothwell, Glasgow G71",169616000,5,Terraced house for sale
2332,"Woodside Place, Glasgow, Glasgow City G3",153714500,5,Detached house for sale
2333,"Fife Crescent, Bothwell, Glasgow G71",148414000,5,Property for sale
2334,"Shields Road, Pollokshields, Glasgow G41",127212000,4,Detached house for sale
2335,"Fairfield Place, Bothwell, Glasgow G71",121911500,4,Detached house for sale
2336,"Kittochside Road, Carmunnock, Clarkston G76",106010000,4,Detached house for sale
2337,"Fairyknowe Cottage, 26 Fairyknowe Gardens, Bothwell, Glasgow G71",106009469,5,Detached house for sale
2338,"Exclusive Listing, The Gatehouse, Jordanhill Park, Jordanhill G13",106009469,5,Detached house for sale
2339,"""Gatehouse"" at Jordanhill Drive, Off Southbrae Drive, ...",99119350,5,Flat for sale
2340,"Waverley Gardens, Shawlands, Glasgow G41",99119350,3,Flat for sale
2341,"Albion Street, Glasgow G1",91592109,4,Detached house for sale
2342,"""The Lawers Ranald"" at Evie Wynd, Newton Mearns, Glasgow G77",90108500,5,Flat for sale
2343,"Plot 2 - Claremont Apartments, North Claremont Street, Glasgow G3",89683929,5,Detached house for sale
2344,"""The Lawers Ramsay"" at Evie Wynd, Newton Mearns, Glasgow G77",87458250,5,Flat for sale
2345,"Park Gardens, Park District, Glasgow G3",87458250,5,Detached house for sale
2346,"Manse Road, Bearsden, Glasgow G61",84808000,5,Detached house for sale
2347,"Polnoon Street, Eaglesham, Glasgow G76",84277950,4,Detached house for sale
2348,"Dalserf Crescent, Giffnock, East Renfrewshire G46",82051209,5,Detached house for sale
2349,"""Moncrief"" at Evie Wynd, Newton Mearns, Glasgow G77",81627169,4,Detached house for sale
2350,"""The Lawers Melville"" at Evie Wynd, Newton Mearns, Glasgow G77",79401490,4,Detached house for sale
2351,"""The Buchanan - Plot 714"" at Raeside Grove, Newton Mearns, ...",79083460,4,Detached house for sale
2352,"""The Buchanan - Plot 754"" at Raeside Grove, Newton Mearns, ...",77917350,4,Detached house for sale
2353,"Kylepark Drive, Uddingston, Glasgow G71",76856719,5,Detached house for sale
2354,"""The Lawers Lewis"" at Evie Wynd, Newton Mearns, Glasgow G77",75267100,4,Detached house for sale
2355,"Cobden Crescent, Bearsden, East Dunbartonshire G61",74100990,4,Detached house for sale
2356,"""The Forbes - Plot 806"" at Raeside Grove, Newton Mearns, ...",71026169,3,Flat for sale
2357,"""David Stow 326"" at Jordanhill Drive, Off Southbrae Drive, ...",70390640,5,Detached house for sale
2358,"""The Gordon - Plot 808"" at Raeside Grove, Newton Mearns, ...",68906500,6,Flat for sale
2359,"Winton Drive, Kelvinside, Glasgow G12",68587939,5,Detached house for sale
2360,"""The Lawers Evan"" at Evie Wynd, Newton Mearns, Glasgow G77",68375919,5,Town house for sale
2361,"""Elder – Mid Terrace"" at Jordanhill Drive, Off Southbrae ...",67315819,5,Town house for sale
