,Property_Name,Price_in_INR,No_of_Bedroom,Property_type
152,"Eaton Place, London, SW1X",1855175000,3,End of Terrace
153,"Kensington, London, W8",1855175000,3,Apartment
154,"Brompton Square, Knightsbridge, London, SW3",1855175000,4,Terraced
155,"Lancer Square, Apartment 27, 1 Lancer Square, Kensington Church St, W8",1855175000,10,Penthouse
156,"Manhattan Loft Apartments, London, E20",1855175000,6,Penthouse
157,"Knightsbridge, London, SW1X",1828672500,6,Apartment
158,"Hamilton Terrace, London, NW8",1802170000,13,Detached
159,Chester Terrace,1796869500,7,End of Terrace
160,"Chester Terrace, Regent's Park, London, NW1",1796869500,6,Terraced
161,"Eaton Place, London, SW1X",1796869500,10,Apartment
162,"Courtenay Avenue, London N6",1796869500,6,Detached
163,"Melina Place, St John's Wood, London, NW8",1775667500,7,Semi-Detached
164,"Lowndes Street, Belgravia, London, SW1X",1749165000,10,Terraced
165,"Cranley Gardens, London, SW7",1749165000,8,Terraced
166,"Elgin Crescent, London, W11",1749165000,7,Semi-Detached
167,"Lowndes Street, London, SW1X",1749165000,7,Terraced
168,"Charles Street, Mayfair, W1J",1749165000,5,House
169,"Elsworthy Road, London, NW3",1749165000,4,Detached
170,"Belsize Lane, Hampstead, London, NW3",1749165000,4,Detached
171,"Wilton Crescent, Belgravia",1749165000,5,House
172,"Knightsbridge Gate, Apartment 3, 1 William Street, London, SW1X",1722662500,2,Apartment
173,"William Street, London, SW1X",1722662500,5,Apartment
174,"Lancelot Place, London, SW7",1712061500,5,Town House
175,"Woodland Way, Mill Hill",55655250,6,Flat
176,"Lancelot Place, London, SW7",1712061500,6,Town House
177,"Lancelot Place, London, SW7",1712061500,4,Town House
178,"South Audley Street, London, W1K",1696160000,4,Apartment
179,"South Audley Street, Mayfair, London, W1K",1696160000,8,Apartment
180,"Lancer Square, Residence 22, 1 Lancer Square, London, W8",1696160000,3,Apartment
181,"Lancer Square, Kensington Church Street, Kensington W8 4LD",1696160000,3,Apartment
182,"Hyde Park Gate, London, SW7",1696160000,6,Penthouse
183,"Eaton Mews South, London, SW1W",1696160000,4,Town House
184,"Eaton Mews South, Belgravia, SW1W",1696160000,6,Mews
185,"Park Square West, London, NW1",1690859500,4,Terraced
186,"William Street, London, SW1X",1690859500,3,Apartment
187,"Park Square West, Regents Park, London, NW1",1690859500,6,Terraced
188,"William Street, London, SW1X",1669657500,6,Apartment
189,"Arlington Street, St. James's",1643155000,3,Flat
190,"Norfolk Road, St John's Wood, NW8",1643155000,3,Detached
191,"Bedford Gardens, London, W8",1643155000,6,Town House
192,"Walpole Mayfair, Arlington Street, London, SW1A",1643155000,4,Penthouse
193,"Arlington Street, SW1A",1643155000,7,Penthouse
194,"Bedford Gardens, Kensington, London, W8",1643155000,5,Semi-Detached
195,"Lancer Square, Kensington Church St, W8 4LD",1643155000,5,Apartment
196,"Park Street, Mayfair",1590150000,5,Flat
197,"Academy Gardens, Duchess of Bedfords Walk, London, W8",1590150000,2,Apartment
198,"Chester Square, London, SW1W",1590150000,3,House
199,"Cannon Lane East Heath Road, Hampstead, NW3",1590150000,7,Semi-Detached
200,"Clapham Common West Side, Battersea",58305500,6,Flat
201,"Park Modern, Apartment 51, 123 Bayswater Road, London, W2",1590150000,6,Apartment
202,"The Bishops Avenue Knolehurst, London, N2",1590150000,6,Detached
203,"The Bishops Avenue, London, N2",1590150000,6,Detached
204,"Chalcot Square, Primrose Hill, London",1590150000,7,Terraced
205,"Gore Street, South Kensington SW7",1590150000,3,Terraced
206,"GORE STREET, London, SW7",1590150000,7,Terraced
207,"Acacia Road, St Johns Wood, NW8",1584849500,5,Detached
208,"Moxon Street, W1U",1584849500,5,Block of Apartments
209,"Acacia Road, London, NW8",1584849500,6,Detached
210,"Gilston Road, Chelsea, London",1584849500,5,House
211,"Chester Street, London, SW1X",1584849500,5,Terraced
212,"Gilston Road, London, SW10",1584849500,5,Terraced
213,"Pont Street Mews, London, SW1X",1584849500,7,Mews
214,"Pont Street Mews, Knightsbridge, London, SW1X",1584849500,3,House
215,"Ovington Square, London, SW3",1584849500,3,Terraced
216,"Acacia Road, St John's Wood, London, NW8",1584849500,4,Detached
217,"Marylebone Square, Marylebone W1",1584849500,4,Flat
218,"South Audley Street, London, W1K",1563647500,8,Apartment
219,"Lancer Square, Apartment 23, 1 Lancer Square, Kensington Church St, W8",1547746000,8,Apartment
220,"Lancer Square, Kensington Church Street, Kensington, London W8 4LD",1547746000,5,Apartment
221,"Wilton Crescent, London, SW1X",1537145000,8,Town House
222,"Cheyne Gardens, Chelsea, London, SW3",1537145000,2,End of Terrace
223,"Chester Terrace, Regent's Park, NW1",1537145000,4,Terraced
224,"Cheyne Gardens, London, SW3",1537145000,3,Town House
225,"Chimney Court, 23 Brewhouse Lane, London, E1W",103359750,7,Flat
226,"Craven Street, London, WC2N",1537145000,3,Penthouse
227,"Beaufort Gardens, London, SW3",1537145000,3,Apartment
228,"Wilton Crescent, London, SW1X",1537145000,4,End of Terrace
229,"The Bryanston, Hyde Park, 55 Bryanston Street, Marylebone, London, W1H 7BZ",1510642500,4,Apartment
230,"The Bryanston, Hyde Park",1510642500,4,Flat
231,"Lancelot Place, Knightsbridge",1484140000,5,Apartment
232,"Pembridge Crescent, Notting Hill, London, W11",1484140000,5,House
233,"Pembridge Crescent, London, W11 3DU",1484140000,5,Detached
234,Montpelier Square,1484140000,5,House
235,"Inverforth House, London, NW3",1478839500,4,Detached
236,"North End Way, Hampstead, London, NW3",1478839500,5,Terraced
237,"Knightsbridge, London, SW7",1478839500,7,House
238,"10 Park Crescent, London, W1B",1478839500,8,Apartment
239,"North End Way, Hampstead, NW3",1478839500,6,House
240,"South Street, London, W1K",1478839500,6,Terraced
241,"Cheyne Place, Chelsea",1478839500,3,House
242,"Frognal Way, Hampstead Village, London, NW3",1478839500,5,Detached
243,"South Street, Mayfair",1478839500,3,House
244,"Chelsea Barracks, Belgravia,SW1W",1473539000,6,Apartment
245,"Chelsea Harbour, London, SW10",1462938000,6,Apartment
246,"Eaton Square, London, SW1W",1457637500,9,Apartment
247,"Elsworthy Road, Primrose Hill, London, NW3",1431135000,1,Detached
248,"Elsworthy Road, Primrose Hill, London, NW3",1431135000,3,Detached
249,"Chelsea Waterfront, Chelsea, London, SW10",1431135000,8,Flat
250,London Apartment,87458250,5,Apartment
251,"Beaufort Gardens, London, SW3",1431135000,5,Parking
252,"Chester Square, Belgravia, London, SW1W",1431135000,5,Terraced
253,"Down Street Mews, London, W1J",1426364550,3,House
254,"Down Street Mews, London, W1J",1426364550,3,Mews
255,"Down Street Mews, Mayfair, London, W1J",1426364550,4,Semi-Detached
256,"Marylebone Square, Marylebone W1",1420003950,4,Flat
257,"Moxon Street, W1U",1420003950,4,Flat
258,"Down Street Mews, Mayfair, London, W1J",1407282750,3,Semi-Detached
259,"Down Street Mews, London, W1J",1407282750,3,Mews
260,"Down Street Mews, London, W1J",1407282750,4,House
261,"Buckingham Gate, London, SW1E",1378130000,3,Apartment
262,Buckingham Gate London SW1E,1378130000,5,Flat
263,"Connaught Place, Connaught Village, London, W2",1378130000,4,Apartment
264,"Buckingham Gate, St James's, SW1E",1378130000,5,Apartment
265,Chelsea,1378130000,4,Apartment
266,"Eaton Square, London, SW1W",1372829500,4,Apartment
267,"Hampstead Lane, Hampstead, London, NW3",1372829500,4,Detached
268,Henry Moore Court,1372829500,6,House
269,"Manresa Road, London, SW3",1372829500,3,Semi-Detached
270,"Henry Moore Court, Chelsea, SW3",1372829500,6,Town House
271,"Hampstead Lane, NW3",1372829500,1,Detached
272,"Marlborough Place, London, NW8",1372829500,6,Detached
273,"The Portia Fox Penthouse, One Casson Square, Southbank Place, London, SE1",1372829500,3,Penthouse
274,"Marlborough Place, St John's Wood, NW8",1372829500,6,House
275,"Halley House, Westmoreland Road, London, NW9",37103500,4,Apartment
276,"Marlborough Place, St John's Wood, London, NW8",1372829500,4,Detached
277,"One Casson Square, Southbank Place, Belvedere Road, London, SE1",1372829500,4,Apartment
278,"Rosslyn Hill, London",1351627500,4,Detached
279,"Cadogan Place, London, SW1X",1345796950,4,Penthouse
280,"Hill Street, Mayfair, London, W1J",1335726000,4,Flat
281,"Chester Square, London, SW1W",1325125000,1,Terraced
282,"Chester Square, Belgravia SW1W",1325125000,4,Terraced
283,"Chesham Place, Belgravia, London, SW1X",1325125000,5,Flat
284,"St. Johns Wood Road, London, NW8",1325125000,8,Penthouse
285,"Mayfair Park Residences, Stanhope Gate, London, W1K",1325125000,4,Flat
286,"Pavilion Apartments, St. Johns Wood Road, London, NW8",1325125000,5,Penthouse
287,"Wimpole Street, London",1325125000,8,Terraced
288,"The Bishops Avenue, N2",1325125000,4,Detached
289,"Grosvenor Crescent, London, SW1X",1325125000,5,Apartment
290,"Holland Park Villas, 6 Campden Hill, London W8",1303923000,5,Apartment
291,"The Bishops Avenue, London, N2",1298622500,5,Detached
292,"Lancer Square, Kensington Church St, W8 4LD",1279243872,5,Not Specified
293,"St Anselms Place, Mayfair, London, W1K",1272120000,12,Mews
294,"Wycombe Square, Kensington, London, W8",1272120000,6,Terraced
295,"The Penthouse, 205 City Road, London EC1V 1AT",1272120000,5,Penthouse
296,"Walton Place, London, SW3",1272120000,2,Terraced
297,"Queen's Gate Place, London, SW7",1272120000,3,House
298,"Ingram Avenue, Hampstead Garden Suburb",1272120000,13,Detached
299,"Half Moon Street, London, W1J",1272120000,13,Terraced
300,"Clapham Quarter, Maud Chadburn Place, London, SW4",92758750,5,Flat
301,"Buckingham Gate, St James's, SW1",1272120000,5,Apartment
302,"Kensington Court, London, W8",1272120000,6,Block of Apartments
303,"Kensington Court, London, W8",1272120000,13,Terraced
304,"Chester Terrace, London, NW1",1272120000,3,House
305,"Chester Terrace, Regent's Park, London, NW1",1272120000,5,Terraced
306,"Ingram Avenue, Hampstead Garden Suburb, London, NW11",1272120000,5,Detached
307,"Kensington Court, London, W8",1272120000,4,Block of Apartments
308,Buckingham Gate Westminster SW1E,1272120000,8,Apartment
309,"Barlby Road, London, W10",1271589950,6,Terraced
310,"Barlby Road, London, W10",1271589950,4,House
311,"Adams Row, London, W1K",1266819500,4,Terraced
312,"Upper Brook Street, Mayfair",1266819500,4,House
313,"HARLEY ROAD, PRIMROSE HILL, NW3",1266819500,4,Detached
314,"Adams Row, Mayfair, London, W1K",1266819500,3,House
315,"Adams Row, London, W1K",1266819500,4,Mews
316,"Adam's Row, London, W1K",1266819500,8,House
317,"Adams Row, W1K",1266819500,4,House
318,"Grosvenor Crescent Mews, Belgravia, London, SW1X",1266819500,5,Terraced
319,"Adams Row, Mayfair",1266819500,4,House
320,"Upper Brook Street, London, W1K",1266819500,4,Terraced
321,"Adams Row, Mayfair, W1K",1266819500,3,House
322,"Adams Row, Mayfair, London, W1K",1266819500,9,Terraced
323,"Adams Row, Mayfair",1266819500,7,House
324,"Grosvenor Crescent Mews, Belgravia, SW1X",1266819500,4,Mews
325,"Refinery House, Tandy Place, London, E20",103359750,3,Apartment
326,"Winnington Road, London, N2",1266819500,3,Detached
327,"Harley Road, Primrose Hill, London, NW3",1266819500,7,Detached
328,Adams Row,1266819500,5,Terraced
329,"Montrose Place, Belgravia, London",1250387950,3,Flat
330,"Park Modern, Apartment 42, 123 Bayswater Road, London, W2",1245617500,8,Apartment
331,"Buxmead, 67 The Bishops Avenue, London, N2",1240317000,6,Apartment
332,"Penthouse, Southbank Tower, 55 Upper Ground, SE1",1228655900,2,Apartment
333,"Buckingham Gate, St James, London, SW1E",1219115000,7,Apartment
334,"Abercorn Place, London, NW8",1219115000,5,Detached
335,"Granville Park, London, SE13",1219115000,5,Detached
336,"Clarges Street, Mayfair, London, W1J",1219115000,6,Flat
337,"Granville Park, London",1219115000,5,Detached
338,"Pembroke Walk, London, W8",1219115000,5,Detached
339,"Thurloe Square, South Kensington, SW7",1219115000,5,Terraced
340,"Palace Gardens Terrace, Kensington, London, W8",1219115000,10,Terraced
341,"Walton Place, London, SW3",1219115000,5,End of Terrace
342,"Pembroke Walk, Kensington, London",1219115000,3,End of Terrace
343,"Thurloe Square, London, SW7",1219115000,7,Terraced
344,"Great College Street, London, SW1P",1219115000,6,Terraced
345,"Earls Terrace, London, W8",1192612500,5,Terraced
346,"Park Modern, Apartment 32, 123 Bayswater Road, London, W2",1192612500,2,Apartment
347,"Farm Street, Mayfair, W1J",1182011500,10,Terraced
348,"Craven Street, London, WC2N",1166110000,5,Town House
349,"REDINGTON ROAD, HAMPSTEAD, LONDON, NW3",1166110000,5,Detached
350,"Narrow Street, London, E14",174916500,4,Apartment
351,"Hyde Park Gardens, Hyde Park, W2",1166110000,3,Terraced
352,"Montrose Place, Belgravia, London, SW1X",1166110000,4,Flat
353,"Montrose Place, London, SW1X",1166110000,4,Apartment
354,"Bolsover Street, Fitzrovia, London, W1W",1166110000,6,Penthouse
355,"Montrose Place, Belgravia, London, SW1X",1166110000,4,Flat
356,"Hereford House, Mayfair, London, W1K",1166110000,3,Apartment
357,"Ennismore Gardens, London, SW7",1166110000,4,Flat
358,"Frognal, Hampstead, London, NW3",1160809500,4,Detached
359,"Farm Street, Mayfair, W1J",1160809500,4,Terraced
360,"Park Crescent, London, W1B",1160809500,5,Flat
361,"Knightsbridge, London, SW7",1160809500,4,Apartment
362,"St Marks Crescent, Primrose Hill, London, NW1",1160809500,6,End of Terrace
363,"St. Katharines Precinct, Regent's Park, London, NW1",1160809500,5,Terraced
364,"Beverly House, Park Road, St Johns Wood, NW8",1160809500,7,Apartment
365,"St Katharine's Precinct, London, NW1",1160809500,5,Terraced
366,"Hyde Park Gate, London, SW7",1160809500,3,Semi-Detached
367,"Wilton Place, London, SW1X",1160809500,3,Terraced
368,"Thurloe Square, Knightsbridge, SW7",1160809500,6,Terraced
369,"Beverly House, Park Road, London, NW8",1160809500,4,Penthouse
370,"55 Knightsbridge Gate, Knightsbridge, London, SW1X 7BF",1160809500,4,Apartment
371,"Knightsbridge, London, SW1X",1160809500,2,Apartment
372,"Herbert Crescent, Knightsbridge, SW1X",1160809500,5,Terraced
373,"Addison Avenue, London, W11",1160809500,7,House
374,"Bruton Place, Mayfair, London, W1J",1160809500,5,Terraced
375,"Gibson Street, Greenwich",66256250,3,Maisonette
376,"Farm Street, Mayfair",1160809500,8,House
377,"Thurloe Square, South Kensington, London, SW7",1160809500,4,Terraced
378,"Beverly House, 133 Park Road, St. John's Wood, London, NW8",1160809500,6,Penthouse
379,"Fitzhardinge Street, London, W1H",1160809500,6,Flat
380,"Langford Place, London, NW8",1160809500,4,Link Detached House
